,Feature_name,Feature_importance
114,Centroid_movement_M1_mean_6 Importance,0.0
115,Centroid_movement_M1_sum_6 Importance,0.0
116,Centroid_movement_M1_median_7.5 Importance,0.0
117,Centroid_movement_M1_mean_7.5 Importance,0.0
118,Centroid_movement_M1_sum_7.5 Importance,0.0
119,Tail_end_movement_M1_median_2 Importance,0.0
120,Tail_end_movement_M1_mean_2 Importance,0.0
121,Tail_end_movement_M1_sum_2 Importance,0.0
122,Tail_end_movement_M1_median_5 Importance,0.0
123,Tail_end_movement_M1_mean_5 Importance,0.0
124,Tail_end_movement_M1_sum_5 Importance,0.0
125,Tail_end_movement_M1_median_6 Importance,0.0
126,Tail_end_movement_M1_mean_6 Importance,0.0
127,Tail_end_movement_M1_sum_6 Importance,0.0
128,Tail_end_movement_M1_median_7.5 Importance,0.0
129,Tail_end_movement_M1_mean_7.5 Importance,0.0
130,Tail_end_movement_M1_sum_7.5 Importance,0.0
131,Nose_movement_M1_median_5 Importance,0.0
132,Nose_movement_M1_mean_5 Importance,0.0
133,Nose_movement_M1_sum_5 Importance,0.0
134,Nose_movement_M1_median_6 Importance,0.0
135,Nose_movement_M1_mean_6 Importance,0.0
136,Nose_movement_M1_sum_6 Importance,0.0
137,Nose_movement_M1_median_7.5 Importance,0.0
138,Nose_movement_M1_mean_7.5 Importance,0.0
139,Nose_movement_M1_sum_7.5 Importance,0.0
140,Total_movement_M1_median_5 Importance,0.0
141,Total_movement_M1_mean_5 Importance,0.0
142,Total_movement_M1_sum_5 Importance,0.0
143,Total_movement_M1_median_6 Importance,0.0
144,Total_movement_M1_mean_6 Importance,0.0
145,Total_movement_M1_sum_6 Importance,0.0
146,Total_movement_M1_median_7.5 Importance,0.0
147,Total_movement_M1_mean_7.5 Importance,0.0
148,Total_movement_M1_sum_7.5 Importance,0.0
149,Tail_end_relative_to_tail_base_centroid_nose Importance,0.0
150,Tail_end_relative_to_tail_base_centroid_nose_M1_5 Importance,0.0
151,Tail_end_relative_to_tail_base_centroid_nose_M1_6 Importance,0.0
152,Tail_end_relative_to_tail_base_centroid_nose_M1_7.5 Importance,0.0
153,Total_movement_all_bodyparts_deviation Importance,0.0
154,M1_smallest_euclid_distances_hull_deviation Importance,0.0
155,M1_largest_euclid_distances_hull_deviation Importance,0.0
156,Movement_mouse_deviation_centroid Importance,0.0
157,Mouse_polygon_deviation Importance,0.0
158,Mouse1_smallest_euclid_distances_mean_2_deviation Importance,0.0
159,Mouse1_smallest_euclid_distances_mean_5_deviation Importance,0.0
160,Mouse1_smallest_euclid_distances_mean_6_deviation Importance,0.0
161,Mouse1_smallest_euclid_distances_mean_7.5_deviation Importance,0.0
162,Mouse1_largest_euclid_distances_mean_2_deviation Importance,0.0
163,Mouse1_largest_euclid_distances_mean_5_deviation Importance,0.0
164,Mouse1_largest_euclid_distances_mean_6_deviation Importance,0.0
165,Mouse1_largest_euclid_distances_mean_7.5_deviation Importance,0.0
166,Movement_mouse_percentile_rank Importance,0.0
167,Total_movement_M1_mean_6_percentile_rank Importance,0.0
168,Total_movement_M1_mean_7.5_percentile_rank Importance,0.0
169,Mouse1_smallest_euclid_distances_mean_2_percentile_rank Importance,0.0
170,Mouse1_smallest_euclid_distances_mean_6_percentile_rank Importance,0.0
171,Mouse1_smallest_euclid_distances_mean_7.5_percentile_rank Importance,0.0
172,Mouse1_largest_euclid_distances_mean_2_percentile_rank Importance,0.0
173,Mouse1_largest_euclid_distances_mean_5_percentile_rank Importance,0.0
174,Mouse1_largest_euclid_distances_mean_6_percentile_rank Importance,0.0
175,Mouse1_largest_euclid_distances_mean_7.5_percentile_rank Importance,0.0
176,Tortuosity_Mouse1_2  Importance,0.0
177,Tortuosity_Mouse1_5  Importance,0.0
178,Tortuosity_Mouse1_6  Importance,0.0
179,Tortuosity_Mouse1_7.5 Importance,0.0
180,Sum_probabilities_deviation_percentile_rank Importance,0.0
181,Sum_probabilities_percentile_rank Importance,0.0
182,Low_prob_detections_0.1 Importance,0.0
183,Low_prob_detections_0.5 Importance,0.0
184,Low_prob_detections_0.75 Importance,0.0
